약자,한국정보과학회 (2020),BK21플러스 IF (2018),KAIST CS (2022),SNU CSE (2024.4),POSTECH CSE (2023.10),평균 (정규화),학회명,DBLP Key
SEC (IFIP-SEC),,1,,,우수,0.15,IFIP International Information Security Conference (SEC),conf/sec
SECON,우수,1,,,우수,0.25,"Annual IEEE International Conference on Sensing, Communication, and Networking (SECON)",conf/secon
SenSys,우수,3,O,O,최우수,0.85,ACM International Conference on Embedded Networked Sensor Systems (SenSys),conf/sensys
SGP,우수,1,,,우수,0.25,Eurographics Symposium on Geometry Processing (SGP),conf/sgp
SIGCOMM,최우수,4,O,O,최우수,1.00,ACM SIGCOMM Conference (SIGCOMM),conf/sigcomm
SIGDIAL,,,,,우수,0.10,SIGdial Meetings (SIGDIAL),conf/sigdial
SIGGRAPH,최우수,4,,O,최우수,0.80,International Conference on Computer Graphics and Interactive Techniques (SIGGRAPH),conf/siggraph
SIGGRAPH ASIA,최우수,,,O,최우수,0.60,ACM SIGGRAPH Conference and Exhibition on Computer Graphics and Interactive Techniques in Asia (SIGGRAPH Asia),conf/siggrapha
SIGIR,최우수,4,O,O,최우수,1.00,Annual International ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR),conf/sigir
SIGMETRICS,최우수,3,O,O,최우수,0.95,International Conference on Measurement and Modeling of Computer Systems (SIGMETRICS),conf/sigmetrics
SIGMOD,최우수,4,O,O,최우수,1.00,ACM SIGMOD Conference (SIGMOD),conf/sigmod
SLT,,,,,우수,0.10,Spoken Language Technology Workshop (SLT),conf/slt
SMC,우수,,,,,0.10,"IEEE International Conference on Systems, Man and Cybernetics (SMC)",conf/smc
SOCC,우수,1,,,우수,0.25,ACM Symposium on Cloud Computing (SoCC),conf/cloud
SOCG,최우수,2,,,최우수,0.50,International Symposium on Computational Geometry (SoCG),conf/compgeom
SODA,최우수,3,O,O,최우수,0.95,ACM-SIAM Symposium on Discrete Algorithms (SODA),conf/soda
SOSP,최우수,4,O,O,최우수,1.00,Symposium on Operating Systems Principles (SOSP),conf/sosp
SOUPS,우수,1,,,우수,0.25,Symposium On Usable Privacy and Security (SOUPS),conf/soups
